poliza_id,edad_conductor,sexo,estado_civil,nivel_estudios,ocupacion,zona_residencia,region,antiguedad_cliente_anios,ingreso_mensual_mxn,score_crediticio,prima_mensual_mxn,suma_asegurada_mxn,deducible_pct,historial_siniestros_3_anios,km_anuales,edad_vehiculo_anios,tipo_vehiculo,uso_vehiculo,segmento_marca,metodo_pago,canal_venta,tiene_gps,asistencia_vial,mantenimiento_al_dia,dias_hasta_renovacion,puntaje_riesgo_zona,numero_siniestros_12m,costo_esperado_anual_mxn,riesgo_alto,clase_costo
POL-00018,44,Masculino,Soltero,Licenciatura,Empleado,Urbana,Centro,0.3,9462.0,719.0,350.0,157795.0,3,0,13846.0,18.2,Compacto,Particular,Economico,Mensual,Online,No,Si,Si,148,57.1,0,2729,0,Bajo
POL-00019,28,No especificado,Divorciado,Preparatoria,Profesor,Rural,Bajio,8.3,8694.0,660.0,655.0,187582.0,5,2,10091.0,4.3,Sedan,Trabajo,Economico,Trimestral,Agente,Si,Si,Si,70,41.9,0,3389,0,Bajo
POL-00020,22,Masculino,Soltero,Licenciatura,Empleado,Urbana,Centro,7.8,15810.0,701.0,671.0,569034.0,5,0,17236.0,8.0,Compacto,Particular,Premium,Mensual,Online,Si,No,Si,128,74.5,0,9506,0,Medio
POL-00021,59,Masculino,Casado,Preparatoria,Independiente,Suburbana,Norte,2.1,29325.0,590.0,350.0,178442.0,10,0,21950.0,9.9,Compacto,Trabajo,Economico,Anual,Agente,No,No,Si,289,56.8,0,3535,0,Bajo
POL-00022,37,Femenino,Casado,Licenciatura,Empleado,Suburbana,Bajio,4.8,15361.0,616.0,350.0,352402.0,10,0,12882.0,16.4,Sedan,Particular,Medio,Trimestral,Agente,Si,No,No,86,67.7,0,4501,0,Bajo
POL-00023,41,Masculino,Casado,Secundaria,Estudiante,Urbana,Occidente,3.3,12562.0,676.0,569.0,153642.0,5,0,10304.0,3.6,Sedan,Particular,Economico,Mensual,Agente,Si,Si,Si,17,65.0,0,1548,0,Bajo
POL-00024,21,Masculino,Casado,Licenciatura,Empleado,Urbana,Norte,7.7,,676.0,694.0,315640.0,5,2,16408.0,5.4,Sedan,Particular,Medio,Mensual,Online,Si,No,Si,42,61.5,0,5654,0,Medio
POL-00025,33,Femenino,Soltero,Licenciatura,Empleado,Rural,Occidente,1.5,17126.0,688.0,655.0,551574.0,10,0,8154.0,4.8,Compacto,Particular,Premium,Anual,Agente,Si,No,Si,75,33.2,0,7534,0,Medio
POL-00026,41,Femenino,Soltero,Secundaria,Independiente,Urbana,Centro,3.0,18109.0,733.0,446.0,198070.0,10,0,11868.0,8.4,Compacto,Particular,Economico,Mensual,Agente,Si,Si,,333,62.1,0,2171,0,Bajo
POL-00027,25,Masculino,Casado,Preparatoria,Otro,Urbana,Sur,2.7,72391.0,543.0,558.0,173016.0,5,1,22223.0,12.1,Sedan,Particular,Economico,Mensual,Agente,No,Si,,40,56.2,0,2945,0,Bajo
POL-00028,45,Femenino,Casado,Licenciatura,Empleado,Urbana,Occidente,1.7,39294.0,577.0,756.0,355515.0,10,1,15842.0,12.1,SUV,Particular,Medio,Anual,Agente,No,Si,Si,361,50.6,0,5699,0,Medio
POL-00029,32,Masculino,Soltero,Preparatoria,Empresario,Suburbana,Sur,8.9,38655.0,667.0,350.0,189721.0,15,0,5163.0,3.6,Sedan,Trabajo,Economico,Trimestral,Agente,No,Si,Si,364,65.7,0,3282,0,Bajo
POL-00030,36,Masculino,Casado,Secundaria,Estudiante,Urbana,Bajio,0.7,41836.0,596.0,350.0,238827.0,5,0,5617.0,3.1,SUV,Particular,Economico,Mensual,Agente,No,Si,Si,279,65.4,0,3347,0,Bajo
POL-00031,32,Femenino,Casado,Posgrado,Empleado,Urbana,Bajio,0.6,12701.0,850.0,1205.0,570923.0,5,0,16391.0,7.9,Deportivo,Trabajo,Medio,Mensual,Agente,No,No,Si,279,85.7,0,8637,0,Medio
POL-00032,64,Femenino,Casado,Licenciatura,,Urbana,Bajio,3.4,,689.0,350.0,175305.0,5,0,20243.0,2.5,Sedan,Particular,Economico,Anual,Agente,No,No,Si,258,58.3,0,500,0,Bajo
POL-00033,40,Femenino,Casado,Posgrado,Profesor,Urbana,Occidente,4.3,11968.0,644.0,350.0,171453.0,5,0,6603.0,8.5,Compacto,Particular,Economico,Mensual,Agente,No,No,Si,328,61.6,1,42328,1,Alto
POL-00034,26,Femenino,Soltero,Preparatoria,Independiente,Rural,Norte,0.9,45834.0,611.0,350.0,245518.0,10,0,17973.0,5.4,Compacto,Particular,Medio,Mensual,Agente,Si,No,No,23,35.8,0,3468,0,Bajo
POL-00035,51,Femenino,Soltero,Preparatoria,Independiente,Rural,Norte,2.0,16282.0,614.0,1805.0,552909.0,5,0,22817.0,11.0,Deportivo,Particular,Medio,Mensual,Agente,Si,Si,No,295,36.9,0,10926,0,Medio
POL-00036,24,Masculino,Casado,Posgrado,Empresario,Suburbana,Occidente,11.7,11054.0,652.0,350.0,169068.0,15,0,25883.0,10.0,Sedan,Particular,Economico,Mensual,Online,No,Si,Si,326,57.0,0,2706,0,Bajo
POL-00037,43,Femenino,Casado,Preparatoria,Independiente,Urbana,Bajio,1.1,17357.0,658.0,436.0,364887.0,5,0,17322.0,5.8,Sedan,Particular,Medio,Anual,Agente,Si,No,Si,108,69.5,0,3512,0,Bajo
POL-00038,18,Masculino,Casado,Licenciatura,Otro,Rural,Centro,4.4,19294.0,616.0,426.0,331153.0,5,0,18287.0,2.4,Sedan,Particular,Medio,Trimestral,Agente,No,No,Si,358,49.0,0,5660,0,Medio
POL-00039,23,Femenino,Casado,Preparatoria,Independiente,Urbana,Bajio,5.4,,630.0,555.0,380173.0,10,1,3767.0,2.5,Pickup,Particular,Medio,Trimestral,Agente,No,Si,Si,288,75.7,0,6532,0,Medio
POL-00040,43,Masculino,Casado,Preparatoria,Profesor,Urbana,Sur,2.4,25256.0,751.0,350.0,216442.0,5,0,27049.0,5.6,Pickup,Particular,Economico,Anual,Agente,Si,Si,Si,317,73.9,0,4340,0,Bajo
POL-00041,50,Femenino,Divorciado,Secundaria,Empleado,Rural,Bajio,11.1,13951.0,754.0,350.0,225375.0,5,0,12335.0,7.1,Sedan,Trabajo,Economico,Mensual,Agente,No,Si,No,340,33.9,0,1463,0,Bajo
POL-00042,42,Femenino,Casado,Secundaria,Estudiante,Suburbana,Bajio,5.3,96231.0,669.0,350.0,309757.0,5,0,10366.0,4.4,Compacto,Particular,Medio,Mensual,Broker,Si,Si,No,316,45.8,0,6731,0,Medio
POL-00043,38,Masculino,Casado,Secundaria,Empleado,Suburbana,Centro,2.4,15479.0,549.0,374.0,354004.0,3,0,14096.0,2.9,Sedan,Particular,Medio,Trimestral,Banco,No,Si,Si,348,51.0,0,6308,0,Medio
POL-00044,36,Masculino,Casado,Secundaria,Empleado,Suburbana,Centro,3.4,20188.0,690.0,1316.0,320471.0,15,1,23814.0,4.5,Sedan,Taxi/Plataforma,Medio,Mensual,Agente,No,Si,Si,26,79.8,0,5902,0,Medio
POL-00045,21,Femenino,Soltero,Posgrado,Independiente,Urbana,Centro,4.7,32097.0,767.0,618.0,269648.0,5,0,27644.0,11.0,SUV,Particular,Economico,Mensual,Online,No,No,Si,125,71.2,0,5720,0,Medio
POL-00046,31,Masculino,Casado,Preparatoria,Empleado,Urbana,Norte,3.6,15457.0,753.0,1010.0,280315.0,10,3,16190.0,4.5,Sedan,Particular,Medio,Mensual,Agente,Si,Si,No,315,65.9,0,4398,0,Bajo
POL-00047,34,Femenino,Soltero,Licenciatura,Independiente,Suburbana,Occidente,8.4,16085.0,705.0,456.0,350260.0,5,1,20989.0,3.7,Sedan,Trabajo,Medio,Mensual,Agente,Si,No,No,169,55.4,0,7584,0,Medio
POL-00048,54,Femenino,Divorciado,Licenciatura,Estudiante,Urbana,Sur,1.8,30461.0,,350.0,213344.0,10,0,15738.0,2.5,SUV,Particular,Economico,Mensual,Online,No,Si,Si,46,,0,4626,0,Bajo
POL-00049,44,Femenino,Casado,Licenciatura,Empleado,Urbana,Bajio,1.4,13726.0,654.0,551.0,148498.0,5,0,9792.0,5.2,Compacto,Trabajo,Economico,Mensual,Agente,No,No,Si,342,67.1,0,3964,0,Bajo
POL-00050,18,Femenino,Casado,Secundaria,Empleado,Suburbana,Occidente,1.0,17804.0,697.0,800.0,296752.0,5,2,23622.0,10.1,Compacto,Particular,Medio,Mensual,Agente,Si,No,Si,180,57.6,0,9034,0,Medio
POL-00051,44,Masculino,Soltero,Licenciatura,Otro,Suburbana,Centro,0.2,,599.0,463.0,393168.0,15,0,12078.0,10.3,SUV,Particular,Medio,Mensual,Online,Si,No,Si,364,49.8,0,7376,0,Medio
POL-00052,35,Masculino,Soltero,Licenciatura,,Urbana,Centro,0.2,,672.0,615.0,230649.0,5,2,23945.0,3.2,Pickup,Particular,Economico,Mensual,Online,Si,Si,Si,72,58.9,0,5428,0,Medio
POL-00053,31,Femenino,Soltero,Licenciatura,Empleado,Suburbana,Centro,8.2,30692.0,750.0,1487.0,376925.0,10,1,22642.0,5.8,SUV,Taxi/Plataforma,Medio,Mensual,Broker,No,No,,121,49.4,0,11017,0,Medio
POL-00054,48,Masculino,Casado,Licenciatura,Independiente,Suburbana,Norte,4.5,28531.0,606.0,612.0,252134.0,3,0,18877.0,3.4,Sedan,Trabajo,Medio,Anual,Banco,No,No,Si,352,47.4,0,3290,0,Bajo
POL-00055,53,Masculino,Soltero,Posgrado,Independiente,Suburbana,Occidente,4.3,29459.0,585.0,580.0,473433.0,5,0,25559.0,4.3,Pickup,Trabajo,Medio,Anual,Banco,Si,Si,Si,185,39.1,0,7832,0,Medio
POL-00056,52,Femenino,Casado,Licenciatura,Empleado,Urbana,Centro,3.8,12192.0,657.0,497.0,382845.0,10,0,27778.0,5.1,Pickup,Particular,Medio,Mensual,Agente,Si,Si,Si,323,60.4,0,3985,0,Bajo
POL-00057,29,Masculino,Divorciado,Preparatoria,Empleado,Urbana,Norte,7.6,23444.0,633.0,493.0,499933.0,10,0,14536.0,3.9,SUV,Particular,,Anual,Agente,No,Si,Si,318,53.9,0,9087,0,Medio
POL-00058,36,Femenino,Divorciado,Licenciatura,Empleado,Urbana,Centro,2.6,21643.0,699.0,890.0,217367.0,5,1,11052.0,0.4,SUV,Particular,Economico,Anual,Online,No,Si,Si,81,55.1,0,3585,0,Bajo
POL-00059,44,Masculino,Casado,Secundaria,,Urbana,Occidente,8.2,26257.0,616.0,442.0,284347.0,10,1,5247.0,13.0,Pickup,Trabajo,Economico,Mensual,Broker,No,Si,Si,29,55.9,1,11522,1,Alto
POL-00060,53,Masculino,Soltero,Posgrado,Empleado,Urbana,Norte,1.8,23456.0,779.0,350.0,321945.0,5,0,27846.0,3.6,SUV,Particular,Medio,Mensual,Agente,No,No,No,280,72.6,0,4451,0,Bajo
POL-00061,34,Masculino,Divorciado,Secundaria,Empleado,Urbana,Occidente,10.5,27109.0,553.0,350.0,167037.0,5,0,13082.0,3.5,Compacto,Particular,Economico,Anual,Broker,Si,Si,Si,120,,0,1476,0,Bajo
POL-00062,38,Femenino,Divorciado,Preparatoria,Estudiante,Urbana,Norte,4.8,18536.0,744.0,585.0,360304.0,5,0,21743.0,3.2,Sedan,Particular,Medio,Trimestral,Agente,No,No,Si,352,52.7,0,5470,0,Medio
POL-00063,26,Femenino,Soltero,Licenciatura,Empleado,Rural,Bajio,1.2,22721.0,593.0,350.0,318057.0,5,0,11423.0,1.8,Compacto,Particular,Medio,Mensual,Agente,No,No,Si,354,54.6,0,2923,0,Bajo
POL-00064,24,Femenino,Casado,Licenciatura,Empresario,Urbana,Centro,3.3,11198.0,515.0,385.0,149844.0,5,0,23960.0,13.2,Sedan,Particular,Economico,Trimestral,Agente,No,No,Si,105,,1,6840,0,Medio
POL-00065,51,Femenino,Soltero,Preparatoria,Empleado,Suburbana,Occidente,3.0,18451.0,668.0,350.0,294122.0,5,0,11649.0,5.3,Sedan,Particular,Medio,Mensual,Online,No,Si,Si,311,56.0,0,2998,0,Bajo
POL-00066,58,Femenino,Casado,Preparatoria,Estudiante,Suburbana,Sur,0.6,47276.0,631.0,350.0,428652.0,15,1,8946.0,7.2,SUV,Particular,Medio,Mensual,Banco,No,No,Si,129,52.1,0,6983,0,Medio
POL-00067,39,Masculino,Viudo,Licenciatura,Empleado,Urbana,Occidente,3.6,26216.0,567.0,350.0,229044.0,3,1,14353.0,6.6,SUV,Trabajo,Economico,Mensual,Agente,No,Si,No,204,70.1,0,3828,0,Bajo
POL-00068,53,Femenino,Soltero,Preparatoria,Estudiante,Rural,Bajio,1.5,21748.0,524.0,497.0,281746.0,3,1,12575.0,3.8,Compacto,Particular,Medio,Mensual,Broker,No,Si,Si,52,32.7,0,2008,0,Bajo
POL-00069,45,Femenino,Divorciado,Licenciatura,Estudiante,Suburbana,Norte,0.2,62422.0,649.0,985.0,778121.0,3,0,18780.0,5.3,SUV,Particular,Premium,Mensual,Online,Si,Si,No,296,35.5,0,11811,1,Alto
POL-00070,32,Masculino,Casado,Secundaria,Empresario,Urbana,Norte,11.9,10408.0,723.0,506.0,292703.0,5,0,15217.0,8.1,Pickup,Particular,Economico,Anual,Online,No,No,Si,278,58.6,0,3507,0,Bajo
POL-00071,45,Femenino,Viudo,Licenciatura,Empresario,Suburbana,Centro,4.1,11951.0,694.0,1507.0,437614.0,5,1,18952.0,2.0,Sedan,Taxi/Plataforma,Medio,Mensual,Banco,No,No,Si,188,,0,9498,0,Medio
POL-00072,60,Masculino,Casado,Licenciatura,Profesor,Urbana,Occidente,8.4,56432.0,654.0,423.0,182260.0,3,0,13899.0,4.2,Sedan,Particular,,Mensual,Agente,No,Si,Si,214,80.7,0,1638,0,Bajo
POL-00073,40,Femenino,Casado,Secundaria,Profesor,Suburbana,Norte,4.5,,686.0,389.0,237582.0,5,1,11842.0,4.7,SUV,Particular,Economico,Mensual,Banco,No,Si,No,30,41.8,0,5844,0,Medio
POL-00074,60,Femenino,Soltero,Preparatoria,Independiente,Urbana,Centro,1.8,19252.0,648.0,350.0,226524.0,5,0,12290.0,3.8,SUV,Particular,Economico,Mensual,Agente,No,Si,No,257,64.2,0,6466,0,Medio
POL-00075,18,Femenino,Soltero,Secundaria,Estudiante,Suburbana,Occidente,2.9,11376.0,543.0,596.0,503968.0,10,0,26747.0,3.7,Pickup,Particular,Medio,Anual,Agente,Si,No,No,59,44.0,0,10987,0,Medio
POL-00076,51,Femenino,Soltero,Licenciatura,Empresario,Urbana,Occidente,4.5,28142.0,543.0,1129.0,248538.0,15,1,16738.0,5.9,SUV,Taxi/Plataforma,Economico,Mensual,Online,Si,No,Si,77,64.9,0,3543,0,Bajo
POL-00077,41,Masculino,Viudo,Preparatoria,Empresario,Suburbana,Centro,12.9,29681.0,635.0,1593.0,285082.0,5,0,4589.0,11.3,Deportivo,Trabajo,Economico,Mensual,Broker,No,Si,Si,22,34.6,0,5589,0,Medio
POL-00078,36,Femenino,Casado,Licenciatura,Empresario,Urbana,Occidente,1.2,12050.0,638.0,547.0,401377.0,3,0,12639.0,7.0,Pickup,Particular,Medio,Mensual,Online,No,Si,Si,184,77.0,0,5084,0,Medio
POL-00079,41,Masculino,Casado,Secundaria,Empleado,Suburbana,Occidente,8.3,20366.0,714.0,350.0,135548.0,3,0,16033.0,3.1,Compacto,Particular,Economico,Mensual,Online,Si,No,,34,50.2,0,880,0,Bajo
POL-00080,18,Femenino,Divorciado,Secundaria,Empleado,Suburbana,Centro,10.3,18293.0,707.0,598.0,248722.0,10,1,25650.0,20.3,Sedan,Particular,Economico,Mensual,Banco,No,Si,Si,0,57.3,0,3850,0,Bajo
POL-00081,37,Femenino,Soltero,Secundaria,Empresario,Urbana,Norte,4.4,25326.0,695.0,350.0,194259.0,10,0,21158.0,11.4,Sedan,Particular,Economico,Mensual,Agente,No,Si,Si,104,63.1,0,3333,0,Bajo
POL-00082,45,Masculino,Casado,Preparatoria,Independiente,Suburbana,Sur,10.7,11887.0,629.0,366.0,167582.0,5,0,10431.0,3.9,Sedan,Particular,Economico,Mensual,Banco,No,No,Si,175,51.5,0,1332,0,Bajo
POL-00083,59,Femenino,Soltero,Licenciatura,Otro,Urbana,Occidente,2.0,43799.0,546.0,350.0,295082.0,5,0,28801.0,11.5,Sedan,Particular,Medio,Mensual,Agente,No,Si,Si,48,74.0,0,5126,0,Medio
POL-00084,33,Masculino,Soltero,Licenciatura,,Rural,Norte,12.2,,681.0,416.0,247826.0,10,0,15329.0,6.0,SUV,Particular,Economico,Anual,Agente,Si,No,Si,167,43.1,0,5797,0,Medio
POL-00085,29,Masculino,Soltero,Licenciatura,Empleado,Urbana,Norte,4.9,18017.0,689.0,350.0,250809.0,5,0,22355.0,2.4,SUV,Trabajo,Economico,Mensual,Agente,No,Si,No,317,66.3,0,2695,0,Bajo
POL-00086,33,Masculino,Casado,Preparatoria,Empleado,Suburbana,Occidente,0.2,19531.0,471.0,543.0,440204.0,5,0,9147.0,10.7,SUV,Particular,Medio,Mensual,Agente,No,No,Si,270,43.6,0,4781,0,Medio
POL-00087,52,Masculino,Soltero,Posgrado,Empresario,Suburbana,Bajio,9.5,20410.0,,1017.0,833814.0,5,1,2500.0,3.1,Pickup,Particular,Premium,Anual,Agente,Si,No,Si,157,45.7,0,14016,1,Alto
POL-00088,44,Femenino,Soltero,Licenciatura,Empleado,Urbana,Occidente,2.7,14339.0,598.0,1590.0,597533.0,5,0,7754.0,7.2,Deportivo,Particular,Medio,Anual,Agente,No,Si,Si,20,,0,12091,1,Alto
POL-00089,33,Femenino,Soltero,Posgrado,Estudiante,Urbana,Centro,2.5,17239.0,659.0,446.0,275644.0,10,0,2500.0,5.8,Compacto,Particular,Medio,Mensual,Agente,Si,No,Si,104,59.1,0,5371,0,Medio
POL-00090,47,Femenino,Soltero,Preparatoria,Otro,Urbana,Norte,3.3,18961.0,590.0,350.0,285994.0,10,0,27116.0,7.5,Sedan,Trabajo,Medio,Anual,Online,No,Si,Si,289,75.0,0,3521,0,Bajo
POL-00091,41,Masculino,Viudo,Preparatoria,Estudiante,Suburbana,Bajio,0.6,53417.0,647.0,726.0,286329.0,10,1,16680.0,13.8,Sedan,Particular,Medio,Trimestral,Online,Si,Si,No,120,64.5,0,3684,0,Bajo
POL-00092,53,No especificado,Casado,Secundaria,Empresario,Urbana,Centro,2.5,37028.0,634.0,594.0,336217.0,5,0,10414.0,5.3,Sedan,Particular,Medio,Mensual,Online,No,Si,Si,191,55.0,0,5883,0,Medio
POL-00093,31,Femenino,Divorciado,Licenciatura,Empleado,Urbana,Bajio,7.1,36785.0,638.0,632.0,327633.0,10,1,17989.0,2.4,Sedan,Particular,Medio,Mensual,Agente,No,Si,Si,228,68.2,0,6133,0,Medio
POL-00094,36,Masculino,Casado,Secundaria,Empresario,Suburbana,Bajio,0.1,26964.0,596.0,418.0,427463.0,5,0,16541.0,3.4,SUV,Particular,Medio,Mensual,Banco,No,Si,Si,180,47.5,1,13693,1,Alto
POL-00095,35,Femenino,Soltero,Preparatoria,Independiente,Urbana,Centro,1.3,11900.0,,1293.0,247404.0,5,0,18915.0,2.3,SUV,Taxi/Plataforma,Economico,Mensual,Agente,No,No,Si,351,76.2,0,2580,0,Bajo
POL-00096,21,Masculino,Casado,Preparatoria,,Suburbana,Bajio,0.0,21504.0,569.0,356.0,383081.0,10,0,22152.0,1.8,Sedan,Particular,Medio,Mensual,Online,Si,Si,Si,224,51.1,1,14127,1,Alto
POL-00097,44,Femenino,Soltero,Licenciatura,Profesor,Urbana,Norte,2.1,37518.0,679.0,879.0,393593.0,5,0,13905.0,9.9,Pickup,Trabajo,Medio,Trimestral,Agente,Si,Si,Si,233,64.9,0,7821,0,Medio
POL-00098,43,Masculino,Soltero,Licenciatura,Estudiante,Urbana,Bajio,5.2,11012.0,693.0,350.0,465939.0,5,0,10661.0,5.7,Pickup,Trabajo,Medio,Anual,Online,Si,No,Si,265,59.0,0,9269,0,Medio
POL-00099,40,Masculino,Soltero,Secundaria,Estudiante,Suburbana,Norte,6.4,31223.0,592.0,1445.0,196932.0,15,0,20053.0,4.9,Sedan,Taxi/Plataforma,Economico,Mensual,Agente,No,No,No,345,37.7,0,1611,0,Bajo
POL-00100,37,Femenino,Soltero,Preparatoria,Empleado,Urbana,Norte,11.6,78923.0,764.0,350.0,216728.0,15,0,19913.0,4.0,SUV,Trabajo,Economico,Mensual,Banco,No,Si,Si,313,71.1,1,5121,0,Medio
POL-00101,22,Femenino,Soltero,Licenciatura,,Urbana,Occidente,3.8,39450.0,626.0,532.0,155254.0,5,0,16054.0,8.6,Compacto,Particular,Economico,Mensual,Broker,No,Si,Si,364,67.8,0,2176,0,Bajo
POL-00102,35,Femenino,Soltero,Posgrado,Profesor,Suburbana,Sur,1.2,47883.0,765.0,1952.0,386479.0,3,1,27477.0,12.2,SUV,Taxi/Plataforma,Medio,Trimestral,Banco,No,Si,Si,217,53.0,0,6433,0,Medio
POL-00103,36,Femenino,Casado,Licenciatura,Empleado,Urbana,Centro,10.3,24807.0,602.0,528.0,231826.0,5,1,13092.0,3.1,Sedan,Particular,Economico,Trimestral,Agente,Si,Si,Si,210,60.2,0,3042,0,Bajo
POL-00104,30,Femenino,Soltero,Posgrado,Independiente,Rural,Occidente,6.0,37465.0,498.0,453.0,182279.0,15,1,10551.0,7.0,Sedan,Particular,Economico,Mensual,Agente,No,No,Si,98,40.8,0,4164,0,Bajo
POL-00105,38,Masculino,Soltero,Licenciatura,Empleado,Rural,Centro,3.4,14824.0,680.0,350.0,190022.0,5,0,17800.0,9.5,Sedan,Particular,Economico,Trimestral,Broker,Si,Si,No,108,48.3,0,1880,0,Bajo
POL-00106,45,Masculino,Casado,Licenciatura,Empresario,Urbana,Norte,4.8,34082.0,669.0,391.0,174387.0,15,2,11788.0,6.2,Sedan,Particular,Economico,Mensual,Agente,No,No,,344,72.9,0,3458,0,Bajo
POL-00107,65,Masculino,Soltero,Secundaria,Otro,Urbana,Norte,10.3,31531.0,653.0,392.0,256787.0,3,0,18225.0,8.2,Compacto,Particular,Medio,Trimestral,Broker,Si,No,Si,252,55.6,0,5050,0,Medio
POL-00108,42,Femenino,Soltero,Licenciatura,Empleado,Suburbana,Norte,5.0,25803.0,602.0,555.0,273713.0,5,0,10918.0,2.4,Sedan,Particular,Medio,Mensual,Agente,Si,No,Si,11,44.9,0,6921,0,Medio
POL-00109,43,Masculino,Divorciado,Licenciatura,Empleado,Urbana,Norte,1.8,45370.0,647.0,350.0,205396.0,5,1,13299.0,12.4,Sedan,Particular,Economico,Mensual,Broker,No,Si,No,117,53.9,0,4288,0,Bajo
POL-00110,39,Masculino,Soltero,Licenciatura,Estudiante,Urbana,Centro,5.0,16358.0,,1048.0,350911.0,5,1,25900.0,8.7,Sedan,Particular,Medio,Mensual,Broker,Si,No,No,87,66.6,0,7689,0,Medio
POL-00111,18,Femenino,Soltero,Preparatoria,Independiente,Suburbana,Centro,0.2,19849.0,627.0,350.0,147571.0,15,1,13269.0,7.4,Compacto,Particular,Economico,Anual,Online,Si,No,Si,343,57.1,0,3200,0,Bajo
